OP_DATE,VESSEL,CRUISE,SERIAL,PORT,STATION_DEPTH,FLOW_START,FLOW_END,DISTANCE_PARM,TOD,STRAT_MIN,STRAT_MAX,SUB_SAMPLE,SAMPLE_VOLUME,ALIQUOT_VOLUME,TOTAL_COUNT,ITIS,REF_NAME,LIFE_STAGE,LIFE_STAGE_NAME
15-Jul-17,88,6,451,356,46,418542,419250,0.01451,3,0,20,S,300,1,81,81338,Dreissena,6,veliger
15-Jul-17,88,6,451,356,46,418542,419250,0.01451,3,0,20,S,300,1,81,81338,Dreissena,6,veliger
15-Jul-17,88,6,451,356,46,418542,419250,0.01451,3,0,20,S,300,1,81,81338,Dreissena,6,veliger
15-Jul-17,88,6,451,356,46,418542,419250,0.01451,3,0,20,S,300,1,81,81338,Dreissena,6,veliger
15-Jul-17,88,6,451,356,46,418542,419250,0.01451,3,0,20,S,300,1,81,81338,Dreissena,6,veliger
15-Jul-17,88,6,451,356,46,418542,419250,0.01451,3,0,20,S,300,1,81,81338,Dreissena,6,veliger
15-Jul-17,88,6,451,356,46,418542,419250,0.01451,3,0,20,S,300,1,81,81338,Dreissena,6,veliger
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,44,59417,Conochilus,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,44,59417,Conochilus,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,44,59417,Conochilus,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,44,59417,Conochilus,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,44,59417,Conochilus,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,4,59434,Collotheca,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,4,59434,Collotheca,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,4,59434,Collotheca,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,4,59434,Collotheca,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,3,59270,Polyarthra,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,3,59270,Polyarthra,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,3,59270,Polyarthra,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,1,59167,Ascomorpha,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,2,59175,Gastropus,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,2,59175,Gastropus,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,119,59255,Synchaeta,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,1,58485,Kellicottia,8,adult
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,5,81338,Dreissena,6,veliger
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,5,81338,Dreissena,6,veliger
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,5,81338,Dreissena,6,veliger
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,5,81338,Dreissena,6,veliger
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,20,40,S,200,1,5,81338,Dreissena,6,veliger
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,68,85257,Copepoda or copepods,1,nauplius
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,543,59417,Conochilus,8,adult
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,0,20,S,500,1,543,59417,Conochilus,8,adult
